条文号,康平本层级,包含层级,校勘说明
1,顶格,顶格,
2,顶格,顶格,
3,顶格,顶格,
4,降二格,降二格,
5,降二格,降二格,
6,顶格 + 降一格,顶格、降一格,条内多段，顶格与降一格交替排版。
7,降二格,降二格,
8,降二格,降二格,
9,降二格,降二格,
10,降二格,降二格,
11,降一格,降一格,
12,顶格,顶格,
13,顶格,顶格,
14,顶格,顶格,
15,顶格,顶格,
16,顶格 + 降一格,顶格、降一格,主体为顶格；“桂枝本为解肌……”一段为降一格。
17,降二格,降二格,
18,降一格,降一格,
19,降一格,降一格,
20,顶格,顶格,
21,顶格,顶格,
22,顶格,顶格,
23,顶格,顶格,
24,顶格,顶格,
25,顶格,顶格,
26,顶格,顶格,
27,顶格,顶格,
28,顶格,顶格,
29,顶格,顶格,
30,降二格,降二格,
31,顶格,顶格,
32,顶格,顶格,
33,顶格,顶格,
34,顶格,顶格,
35,顶格,顶格,
36,降二格,降二格,
37,降二格,降二格,
38,顶格,顶格,
39,顶格,顶格,
40,顶格,顶格,
41,顶格,顶格,
42,顶格,顶格,
43,顶格,顶格,
44,顶格,顶格,
45,降二格,降二格,
46,顶格,顶格,
47,降一格,降一格,
48,顶格,顶格,
49,降一格,降一格,
50,降一格,降一格,
51,降二格,降二格,
52,降二格,降二格,
53,降一格,降一格,
54,降二格,降二格,
55,顶格,顶格,
56,降二格,降二格,
57,降一格,降一格,
58,降一格,降一格,
59,顶格,顶格,
60,顶格,顶格,
61,顶格,顶格,
62,降一格,降一格,
63,降一格,降一格,
64,降二格,降二格,
65,降二格,降二格,
66,降一格,降一格,
67,顶格,顶格,
68,顶格,顶格,
69,顶格,顶格,
70,顶格,顶格,
71,顶格,顶格,
72,顶格,顶格,
73,顶格,顶格,
74,顶格,顶格,
75,降二格,降二格,
76,顶格,顶格,
77,顶格,顶格,
78,顶格,顶格,
79,顶格,顶格,
80,顶格,顶格,
81,降二格,降二格,
82,顶格,顶格,
83,降一格,降一格,
84,降一格,降一格,
85,降一格,降一格,
86,降一格,降一格,
87,降一格,降一格,
88,降一格,降一格,
89,降一格,降一格,
90,降二格,降二格,
91,顶格,顶格,
92,降一格,降一格,
93,顶格 + 降一格,顶格、降一格,顶格正文后接降一格补充。
94,顶格,顶格,
95,降二格,降二格,
96,顶格,顶格,
97,降一格,降一格,
98,降一格 + 顶格,顶格、降一格,先为降一格，转行后变为顶格；李冠杰认为排版存在传抄错误，不宜硬判为单一层级。
99,顶格,顶格,
100,顶格,顶格,
101,降一格,降一格,
102,顶格,顶格,
103,顶格,顶格,
104,顶格,顶格,
105,顶格 + 降一格,顶格、降一格,同一宋本条号内含顶格正文与降一格补充。
106,顶格,顶格,
107,顶格,顶格,
108,降二格,降二格,
109,降二格,降二格,
110,顶格,顶格,
111,顶格,顶格,
112,顶格,顶格,
113,降一格,降一格,
114,顶格,顶格,
115,降一格,降一格,
116,降一格,降一格,
117,顶格,顶格,
118,顶格,顶格,
119,降一格,降一格,
120,顶格 + 降一格,顶格、降一格,同一宋本条号内含顶格正文与降一格补充。
121,降一格,降一格,
122,降一格,降一格,
123,顶格,顶格,
124,顶格,顶格,
125,顶格,顶格,
126,顶格,顶格,
127,降二格,降二格,
128,降二格,降二格,
129,降二格,降二格,
130,降二格,降二格,
131,降一格,降一格,
132,降一格,降一格,
133,降一格,降一格,
134,顶格,顶格,
135,顶格,顶格,
136,顶格,顶格,
137,顶格,顶格,
138,顶格,顶格,
139,顶格,顶格,
140,顶格 + 降一格,顶格、降一格,顶格残文与降一格补充并存。
141,顶格 + 降一格,顶格、降一格,“病在阳……”正文为顶格；“身热、皮粟不解……”为降一格。白散方另为降二格，但方剂版式不计入条文层级。
142,降二格,降二格,
143,降二格,降二格,
144,顶格,顶格,
145,降一格,降一格,
146,顶格,顶格,
147,顶格,顶格,
148,顶格,顶格,
149,顶格,顶格,
150,顶格,顶格,
151,降一格,降一格,
152,顶格,顶格,
153,顶格,顶格,
154,顶格,顶格,
155,顶格,顶格,
156,顶格,顶格,
157,顶格,顶格,
158,顶格,顶格,
159,顶格,顶格,
160,降一格,降一格,
161,顶格,顶格,
162,降一格,降一格,
163,顶格,顶格,
164,顶格,顶格,
165,顶格,顶格,
